,Year,Picture,Laureate,Country,Language(s),Citation,Genre(s)
95,1992,,Derek Walcott (1930 – 2017),Saint Lucia,English,"""for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment""[99]","poetry, drama"
96,1993,,Toni Morrison (1931 – 2019),United States,English,"""who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality""[100]",novel
97,1994,,Kenzaburō Ōe (b. 1935),Japan,Japanese,"""who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today""[101]","novel, short story, essay"
98,1995,,Seamus Heaney (1939 – 2013),Ireland,English,"""for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past""[102]","poetry, drama, translation"
99,1996,,Wisława Szymborska (1923 – 2012),Poland,Polish,"""for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality""[103]","poetry, essay, translation"
100,1997,,Dario Fo (1926 – 2016),Italy,Italian,"""who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden""[104]","drama, songwriting"
101,1998,,José Saramago (1922 – 2010),Portugal,Portuguese,"""who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality""[105]","novel, drama, poetry"
102,1999,,Günter Grass (1927 – 2015),Germany (born in Free City of Danzig),German,"""whose frolicsome black fables portray the forgotten face of history""[106]","novel, drama, poetry"
103,2000,,Gao Xingjian (b. 1940),France (since 1998) China (1940–1998),Chinese,"""for an oeuvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama""[107]","novel, drama, literary criticism"
104,2001,,Vidiadhar Surajprasad Naipaul (1932 – 2018),United Kingdom(Born in Trinidad and Tobago),English,"""for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories""[108]","novel, essay"
105,2002,,Imre Kertész (1929 – 2016),Hungary,Hungarian,"""for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history""[109]",novel
106,2003,,John Maxwell Coetzee (b. 1940),Australia South Africa,English,"""who in innumerable guises portrays the surprising involvement of the outsider""[110]","novel, essay, translation"
107,2004,,Elfriede Jelinek (b. 1946),Austria,German,"""for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clichés and their subjugating power""[111]","novel, drama"
108,2005,,Harold Pinter (1930 – 2008),United Kingdom,English,"""who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms""[112]","drama, screenplay"
109,2006,,Orhan Pamuk (b. 1952),Turkey,Turkish,"""who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures""[113]","novel, screenplay, autobiography, essay"
110,2007,,Doris Lessing (1919 – 2013),United Kingdom Zimbabwe(born in Iran),English,"""that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny""[114]","novel, drama, poetry, short story, memoirs, autobiography"
111,2008,,Jean-Marie Gustave Le Clézio (b. 1940),France Mauritius,French,"""author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization""[115]","novel, short story, essay, translation"
112,2009,,Herta Müller (b. 1953),Germany(Born in Romania),German,"""who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed""[116]","novel, short story, poetry, essay"
113,2010,,Mario Vargas Llosa (b. 1936),Peru Spain,Spanish,"""for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat""[117]","novel, short story, essay, drama, memoirs"
114,2011,,Tomas Tranströmer (1931 – 2015),Sweden,Swedish,"""because, through his condensed, translucent images, he gives us fresh access to reality""[118]","poetry, translation"
115,2012,,Mo Yan (b. 1955),China,Chinese,"""who with hallucinatory realism merges folk tales, history and the contemporary""[119]","novel, short story"
116,2013,,Alice Munro (b. 1931),Canada,English,"""master of the contemporary short story""[120]",short story
117,2014,,Patrick Modiano (b. 1945),France,French,"""for the art of memory with which he has evoked the most ungraspable human destinies and uncovered the life-world of the occupation""[121]","novel, screenplay"
118,2015,,Svetlana Alexievich (b. 1948),Belarus (Born in the Soviet Union),Russian,"""for her polyphonic writings, a monument to suffering and courage in our time""[122]","history, essay"
119,2016,,Bob Dylan (b. 1941),United States,English,"""for having created new poetic expressions within the great American song tradition""[123]","poetry, songwriting"
120,2017,,Kazuo Ishiguro (b. 1954),United Kingdom (born in Japan),English,"""who, in novels of great emotional force, has uncovered the abyss beneath our illusory sense of connection with the world""[124]","novel, screenplay, short story"
121,2018,,Olga Tokarczuk (b. 1962),Poland,Polish,“for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life”[125],"novel, short story, poetry, essay, screenplay"
122,2019,,Peter Handke (b. 1942),Austria,German,"""for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience.""[126]","novel, short story, drama, translation, screenplay"
123,2020,,Louise Glück (b. 1943),United States,English,"""for her unmistakable poetic voice that with austere beauty makes individual existence universal.""[127]","poetry, essay"
